Zone Type,Occupancy,Temperature,Humidity,Weekend,Day/Night,HVAC Status,Fan Status,Lighting Status,Energy Consumption
Corridor,22,32.65,56.63,Yes,Day,OFF,OFF,OFF,30.51
Office,16,27.63,52.34,No,Day,OFF,ON,OFF,41.01
Meeting Hall,4,28.27,65.3,No,Day,ON,ON,OFF,58.59
Corridor,58,30.09,48.11,No,Day,ON,OFF,OFF,56.07
Meeting Hall,15,20.53,62.74,No,Day,ON,OFF,ON,52.93
Floor,93,21.4,37.55,No,Day,ON,OFF,OFF,71.4
Corridor,20,30.99,37.12,No,Day,OFF,OFF,ON,41.74
Corridor,4,20.29,45.55,Yes,Day,ON,ON,ON,37.74
Meeting Hall,57,29.7,74.29,No,Day,ON,OFF,ON,68.24
Corridor,25,18.55,72.52,Yes,Night,ON,ON,ON,37.69
Meeting Hall,42,23.74,54.61,No,Night,ON,OFF,ON,56.16
Corridor,93,29.26,59.27,No,Day,ON,ON,ON,66.95
Office,58,30.01,61.38,No,Day,ON,OFF,ON,60.21
Meeting Hall,85,28.71,48.66,No,Day,OFF,OFF,ON,59.58
Corridor,57,25.51,65.07,No,Night,ON,ON,ON,44.91
Floor,1,22.33,60.41,No,Day,ON,OFF,OFF,52.45
Corridor,43,28.43,47.72,Yes,Night,ON,OFF,OFF,39.71
Floor,75,21.14,44.19,No,Day,ON,OFF,ON,69.0
Floor,90,19.02,79.04,Yes,Day,ON,ON,ON,78.21
Office,25,18.33,44.21,No,Night,ON,ON,ON,44.66
Meeting Hall,43,22.55,38.7,Yes,Night,OFF,ON,ON,40.85
Corridor,88,18.51,71.73,Yes,Night,ON,ON,ON,54.12
Office,18,22.24,70.54,No,Day,OFF,ON,ON,42.47
Corridor,48,22.92,41.94,No,Day,ON,OFF,OFF,44.55
Floor,90,23.86,72.43,No,Day,ON,ON,ON,87.85
Meeting Hall,80,30.13,75.58,Yes,Day,OFF,OFF,ON,52.31
Corridor,56,25.5,46.59,No,Day,ON,ON,ON,52.6
Corridor,5,34.75,46.43,Yes,Day,ON,ON,OFF,47.46
Floor,22,34.11,36.55,No,Day,ON,ON,ON,76.71
Corridor,81,34.69,60.54,No,Day,ON,OFF,OFF,61.63
Corridor,42,25.01,64.7,No,Night,ON,OFF,OFF,47.74
Floor,43,18.75,33.67,No,Night,ON,ON,OFF,59.16
Office,65,32.63,40.45,No,Day,OFF,ON,OFF,51.06
Floor,44,25.39,43.52,No,Day,OFF,ON,ON,59.58
Office,18,28.9,52.3,No,Day,ON,OFF,ON,52.05
Meeting Hall,3,32.34,71.18,No,Night,ON,OFF,OFF,43.04
Office,96,28.32,41.21,No,Day,ON,OFF,ON,65.95
Office,97,30.53,70.38,Yes,Night,ON,ON,ON,53.94
Meeting Hall,95,22.23,74.49,No,Night,OFF,ON,ON,53.87
Office,56,21.32,40.03,No,Day,ON,ON,OFF,51.87
Floor,81,27.44,79.64,No,Day,ON,ON,ON,84.67
Office,8,28.85,55.84,Yes,Night,OFF,ON,ON,30.6
Meeting Hall,100,32.82,57.59,Yes,Day,OFF,ON,OFF,60.92
Floor,47,31.96,60.8,No,Day,OFF,ON,ON,66.18
Meeting Hall,35,34.81,70.14,No,Night,OFF,ON,ON,49.88
Meeting Hall,66,34.43,62.66,Yes,Day,OFF,ON,ON,63.71
Corridor,17,28.6,66.74,No,Night,ON,ON,ON,43.25
Corridor,39,26.56,51.99,No,Night,ON,OFF,ON,41.17
Meeting Hall,88,30.93,59.5,No,Night,ON,OFF,ON,73.87
Meeting Hall,65,22.44,42.35,Yes,Day,ON,ON,OFF,59.33
Meeting Hall,64,23.99,48.16,Yes,Day,OFF,OFF,OFF,45.87
Corridor,87,31.04,61.58,No,Day,ON,OFF,ON,62.23
Corridor,23,34.15,32.05,Yes,Night,ON,ON,OFF,40.54
Office,52,33.22,58.93,Yes,Night,ON,ON,ON,53.94
Office,41,19.24,57.54,No,Day,ON,OFF,ON,48.18
Meeting Hall,52,21.94,39.33,No,Day,OFF,OFF,OFF,50.41
Floor,61,22.65,76.67,Yes,Day,ON,ON,ON,68.76
Floor,61,24.51,34.18,Yes,Night,ON,ON,OFF,60.82
Corridor,67,19.2,32.58,Yes,Night,ON,OFF,ON,36.98
Corridor,34,21.93,73.06,Yes,Night,OFF,ON,ON,34.08
Corridor,98,30.17,72.02,No,Night,OFF,OFF,ON,53.95
Meeting Hall,56,22.16,49.81,No,Night,ON,ON,ON,55.48
Floor,60,34.02,78.77,No,Night,OFF,OFF,ON,66.26
Office,11,25.19,78.77,No,Day,OFF,ON,ON,42.57
Meeting Hall,48,19.69,36.25,No,Day,OFF,ON,ON,53.55
Office,86,32.33,53.97,Yes,Night,OFF,OFF,OFF,33.13
Office,21,33.56,32.67,No,Day,OFF,ON,OFF,43.39
Meeting Hall,89,33.78,47.89,No,Day,ON,ON,ON,76.29
Office,67,26.4,33.58,No,Day,OFF,OFF,ON,48.25
Floor,70,33.65,38.04,Yes,Day,OFF,ON,ON,71.55
Office,22,30.06,74.63,No,Day,OFF,ON,OFF,40.85
Floor,94,21.33,72.22,No,Day,OFF,ON,ON,68.89
Floor,6,27.06,72.9,No,Day,ON,OFF,ON,68.49
Floor,21,25.36,31.63,Yes,Day,ON,OFF,OFF,53.4
Corridor,39,25.67,58.46,No,Day,ON,OFF,ON,50.54
Office,18,25.03,68.7,No,Night,OFF,ON,ON,39.56
Meeting Hall,52,20.98,64.58,No,Day,ON,ON,ON,68.43
Meeting Hall,29,24.63,55.03,No,Day,ON,ON,OFF,63.07
Office,25,26.7,36.09,Yes,Day,ON,OFF,ON,45.57
Corridor,40,22.86,68.7,Yes,Day,ON,OFF,OFF,37.92
Corridor,21,21.01,74.49,No,Day,OFF,OFF,ON,37.33
Floor,60,21.37,43.42,No,Night,OFF,OFF,OFF,49.85
Office,72,21.28,56.98,No,Night,OFF,ON,ON,45.93
Office,45,25.59,54.52,No,Day,ON,ON,ON,59.75
Meeting Hall,57,21.55,66.66,No,Day,OFF,OFF,OFF,48.26
Office,28,30.19,76.3,Yes,Day,ON,ON,ON,54.92
Corridor,95,23.71,52.66,No,Night,ON,ON,ON,56.46
Office,52,33.97,53.12,No,Night,OFF,OFF,OFF,35.51
Meeting Hall,17,19.07,41.3,No,Day,OFF,ON,ON,44.44
Floor,30,23.27,38.96,No,Day,OFF,ON,OFF,54.68
Meeting Hall,31,30.55,31.93,No,Night,ON,ON,ON,53.4
Meeting Hall,8,29.64,70.88,Yes,Night,ON,OFF,OFF,43.57
Floor,93,25.15,50.12,No,Day,ON,ON,ON,87.32
Meeting Hall,36,32.79,33.66,Yes,Night,ON,OFF,OFF,47.82
Meeting Hall,95,19.21,57.56,No,Day,ON,ON,ON,68.6
Office,7,26.65,46.77,Yes,Day,ON,OFF,ON,41.01
Office,23,21.41,78.57,No,Night,ON,ON,ON,43.75
Floor,67,24.36,52.39,No,Day,ON,OFF,ON,70.05
Office,51,29.88,35.14,No,Night,OFF,ON,ON,43.85
Office,45,19.68,61.91,Yes,Day,OFF,OFF,ON,43.21
Meeting Hall,16,18.74,69.67,No,Day,OFF,OFF,OFF,41.03
Corridor,20,25.15,59.07,No,Day,ON,ON,ON,54.18
Office,47,22.61,68.74,No,Day,ON,ON,OFF,45.98
Corridor,8,30.25,44.99,Yes,Day,ON,ON,OFF,46.25
Office,68,19.11,56.56,No,Night,ON,OFF,ON,54.54
Office,4,34.43,71.35,No,Day,ON,ON,ON,53.01
Floor,93,28.55,33.76,Yes,Night,ON,ON,OFF,61.97
Floor,5,26.52,42.97,No,Day,OFF,OFF,ON,52.8
Floor,71,25.01,61.34,No,Night,ON,OFF,OFF,69.02
Corridor,47,30.73,55.3,No,Day,OFF,ON,ON,50.83
Meeting Hall,45,24.06,68.48,No,Day,OFF,ON,ON,55.49
Office,96,31.21,38.91,No,Day,ON,ON,ON,71.84
Office,78,30.08,72.37,No,Day,ON,ON,OFF,65.65
Office,100,27.37,60.93,No,Day,OFF,ON,OFF,53.38
Corridor,72,33.11,40.17,No,Day,ON,OFF,ON,62.54
Floor,62,23.88,32.83,No,Night,ON,ON,OFF,67.18
Meeting Hall,2,18.98,79.1,No,Night,OFF,ON,ON,35.63
Corridor,30,24.4,52.2,Yes,Night,OFF,ON,OFF,26.99
Floor,6,32.88,43.38,No,Day,OFF,OFF,OFF,53.49
Corridor,15,19.31,39.01,No,Night,ON,ON,OFF,28.26
Meeting Hall,91,30.97,42.21,Yes,Night,ON,OFF,ON,62.17
Floor,98,32.03,54.49,Yes,Day,ON,ON,ON,81.74
Corridor,14,25.28,72.65,No,Day,ON,ON,ON,48.2
Meeting Hall,6,21.31,40.42,No,Day,ON,OFF,ON,56.59
Office,98,24.04,48.41,No,Day,ON,ON,ON,71.86
Meeting Hall,94,24.77,69.86,No,Day,OFF,OFF,OFF,60.41
Office,37,33.85,63.22,Yes,Day,OFF,OFF,ON,47.55
Corridor,7,22.84,31.44,No,Night,OFF,ON,ON,30.21
Floor,55,34.53,42.52,No,Day,OFF,OFF,ON,68.12
Floor,79,19.85,36.37,No,Day,ON,OFF,ON,77.21
Corridor,97,34.56,32.06,Yes,Night,ON,OFF,OFF,48.95
Floor,0,21.8,77.36,No,Night,OFF,ON,OFF,44.07
Floor,18,20.85,61.05,Yes,Night,OFF,ON,OFF,46.47
Office,77,20.04,57.09,No,Day,ON,ON,OFF,59.83
Corridor,18,23.38,73.0,No,Day,ON,OFF,OFF,40.08
Meeting Hall,86,28.48,59.57,No,Day,OFF,ON,ON,65.64
Office,3,29.33,58.88,Yes,Day,ON,ON,ON,47.24
Corridor,63,24.29,40.09,No,Day,ON,ON,OFF,48.49
Office,97,21.92,61.02,No,Day,ON,OFF,ON,55.29
Meeting Hall,1,34.92,63.4,No,Night,OFF,ON,OFF,36.68
Meeting Hall,75,22.6,74.07,No,Day,ON,ON,OFF,64.8
Corridor,22,24.43,51.27,No,Day,OFF,OFF,ON,38.13
Meeting Hall,55,26.18,40.2,No,Day,ON,ON,ON,69.65
Office,81,30.57,58.46,No,Night,ON,ON,ON,61.95
Meeting Hall,95,20.59,78.63,No,Day,OFF,ON,OFF,58.06
Office,50,22.52,33.77,Yes,Day,ON,ON,OFF,52.35
Office,80,34.95,30.17,No,Day,ON,ON,ON,67.25
Meeting Hall,30,32.03,31.8,No,Day,ON,ON,OFF,67.07
Corridor,57,25.55,71.57,Yes,Day,OFF,ON,ON,42.83
Floor,35,19.85,30.06,No,Day,ON,OFF,ON,63.5
Meeting Hall,89,32.73,41.08,No,Day,ON,ON,ON,76.65
Office,11,31.31,79.08,No,Night,OFF,ON,ON,37.34
Office,34,27.87,67.29,No,Day,ON,ON,ON,55.12
Meeting Hall,79,24.88,40.94,Yes,Night,ON,ON,ON,59.12
Corridor,3,33.91,41.09,No,Day,OFF,OFF,ON,43.16
Corridor,27,23.03,52.92,Yes,Day,ON,ON,OFF,45.93
Office,32,23.46,33.8,No,Day,ON,ON,ON,55.22
Office,100,32.88,62.65,Yes,Day,ON,OFF,ON,65.37
Corridor,73,28.65,54.83,Yes,Day,OFF,OFF,ON,52.94
Floor,30,34.17,50.96,No,Day,ON,OFF,OFF,60.62
Meeting Hall,77,28.97,54.51,No,Night,ON,OFF,OFF,56.43
Office,4,18.56,43.59,No,Night,OFF,ON,OFF,16.66
Office,9,21.01,40.68,No,Night,ON,OFF,ON,43.46
Corridor,24,22.79,33.43,Yes,Day,ON,OFF,ON,44.48
Meeting Hall,40,32.74,61.27,Yes,Day,ON,ON,ON,66.56
Corridor,16,32.12,54.7,No,Day,OFF,OFF,ON,38.32
Meeting Hall,60,31.44,65.55,Yes,Day,ON,ON,ON,74.03
Meeting Hall,83,27.41,74.72,No,Day,OFF,OFF,OFF,57.58
Meeting Hall,59,20.36,79.65,No,Day,OFF,ON,ON,57.85
Office,32,20.23,41.37,No,Night,ON,ON,OFF,46.5
Floor,8,20.14,38.4,No,Day,ON,ON,ON,66.99
Corridor,49,32.53,75.61,No,Day,OFF,ON,ON,48.5
Floor,30,20.41,50.08,No,Day,ON,ON,ON,70.95
Corridor,4,31.74,70.17,Yes,Day,ON,ON,OFF,38.33
Meeting Hall,45,32.36,36.77,Yes,Night,ON,OFF,ON,58.23
Office,92,19.79,44.74,No,Day,ON,OFF,ON,66.72
Floor,3,33.33,30.55,No,Night,ON,ON,ON,56.56
Office,30,33.26,79.49,No,Day,ON,OFF,ON,58.36
Corridor,3,28.85,30.28,No,Day,ON,ON,ON,47.08
Office,17,26.72,38.58,Yes,Night,ON,OFF,ON,34.97
Office,81,29.0,57.88,No,Day,OFF,ON,OFF,57.23
Floor,33,24.88,72.52,No,Day,OFF,OFF,OFF,49.75
Meeting Hall,47,28.01,69.7,Yes,Day,ON,OFF,ON,58.16
Office,62,34.48,42.66,No,Day,ON,ON,ON,64.68
Meeting Hall,13,19.93,74.01,Yes,Night,ON,ON,ON,42.64
Corridor,89,21.97,33.48,No,Night,ON,OFF,ON,53.04
Office,86,26.91,46.59,No,Night,ON,OFF,OFF,48.53
Floor,32,22.4,43.15,No,Day,ON,ON,ON,70.03
Corridor,80,34.88,62.79,No,Day,OFF,ON,OFF,51.41
Corridor,41,30.24,31.91,No,Day,ON,OFF,ON,56.23
Floor,31,25.38,72.72,No,Night,ON,OFF,ON,64.04
Office,98,33.35,78.07,No,Night,ON,ON,OFF,62.45
Office,42,20.46,41.81,No,Day,ON,OFF,ON,49.95
Corridor,56,22.89,75.1,No,Day,OFF,ON,ON,45.63
Office,93,34.25,75.31,Yes,Day,ON,OFF,ON,62.83
Meeting Hall,14,27.47,61.32,No,Day,OFF,OFF,ON,46.2
Floor,49,33.65,55.35,No,Day,ON,ON,ON,74.12
Meeting Hall,70,34.73,68.73,Yes,Day,ON,ON,OFF,65.69
Office,62,24.12,55.9,No,Day,OFF,OFF,OFF,44.16
Corridor,69,27.8,67.21,No,Night,ON,ON,OFF,48.75
Floor,8,32.39,34.64,Yes,Night,ON,OFF,ON,49.61
Office,12,22.64,44.26,No,Night,OFF,OFF,OFF,23.12
Office,17,25.59,49.72,No,Day,ON,ON,OFF,49.32
Corridor,34,20.61,40.25,No,Day,OFF,OFF,ON,39.2
Corridor,0,29.09,41.52,Yes,Day,ON,ON,ON,40.16
Meeting Hall,87,18.07,68.08,No,Day,ON,OFF,OFF,64.29
Floor,35,25.64,38.68,No,Day,ON,OFF,OFF,63.84
Floor,79,33.8,35.61,No,Night,OFF,OFF,ON,62.21
Corridor,81,33.25,44.02,Yes,Day,ON,ON,ON,64.93
Meeting Hall,66,31.66,38.0,Yes,Night,ON,ON,OFF,52.02
Floor,45,20.4,40.15,No,Night,ON,ON,ON,56.25
Corridor,36,26.84,69.15,No,Night,ON,ON,ON,46.75
Office,71,30.23,52.05,Yes,Night,ON,ON,OFF,49.56
Floor,81,19.72,51.7,Yes,Day,ON,OFF,ON,70.79
Meeting Hall,28,20.5,56.24,No,Night,OFF,ON,OFF,28.93
Meeting Hall,100,18.68,34.46,Yes,Day,ON,ON,OFF,62.75
Meeting Hall,90,23.49,79.36,No,Night,ON,ON,ON,67.35
Office,43,32.91,72.36,Yes,Day,ON,ON,ON,64.31
Floor,92,26.63,44.64,Yes,Day,ON,OFF,ON,76.73
Floor,67,32.51,32.84,No,Day,OFF,ON,ON,72.29
Office,75,19.42,60.87,No,Day,ON,ON,OFF,58.2
Floor,76,18.95,59.61,No,Day,ON,ON,ON,82.81
Office,13,31.67,45.5,No,Day,ON,ON,OFF,51.14
Office,77,26.46,47.03,No,Night,OFF,ON,OFF,46.96
Office,50,26.01,56.29,No,Day,OFF,OFF,ON,41.6
Meeting Hall,73,26.09,73.96,Yes,Day,ON,OFF,OFF,64.66
Floor,85,24.48,35.46,No,Day,ON,ON,OFF,73.15
Office,8,33.07,55.49,No,Day,ON,ON,OFF,47.7
Floor,87,26.86,51.85,No,Day,ON,OFF,ON,80.35
Meeting Hall,80,34.56,53.32,Yes,Night,ON,ON,OFF,60.28
Office,87,32.39,75.49,No,Day,OFF,ON,ON,61.63
Corridor,68,30.54,57.22,No,Day,ON,ON,OFF,59.44
Meeting Hall,33,28.82,64.75,No,Day,OFF,OFF,ON,50.14
Corridor,64,32.2,75.63,Yes,Day,ON,OFF,ON,57.82
Floor,26,32.99,45.12,Yes,Day,OFF,ON,ON,54.6
Floor,39,20.27,47.93,No,Night,ON,ON,ON,64.97
Meeting Hall,7,24.12,41.33,Yes,Day,ON,OFF,ON,50.63
Floor,5,31.69,62.59,No,Day,OFF,OFF,ON,54.49
Corridor,52,21.76,42.69,No,Day,ON,OFF,OFF,42.11
Office,4,27.97,41.73,No,Day,ON,OFF,ON,45.33
Office,53,31.27,79.34,No,Night,OFF,OFF,ON,42.18
Office,17,21.81,64.87,No,Day,ON,ON,OFF,44.17
Meeting Hall,70,24.83,70.72,No,Day,ON,ON,ON,71.88
Floor,35,33.56,78.44,Yes,Night,OFF,ON,OFF,51.49
Corridor,96,24.05,78.55,Yes,Day,OFF,ON,ON,54.17
Floor,53,28.28,46.66,No,Night,OFF,OFF,ON,53.6
Floor,33,25.38,55.94,Yes,Day,ON,OFF,ON,65.24
Floor,31,32.91,76.17,No,Day,OFF,OFF,OFF,51.54
Office,50,25.21,31.28,Yes,Night,OFF,OFF,OFF,21.98
Corridor,2,24.11,75.81,No,Night,OFF,ON,OFF,27.61
Corridor,64,20.95,72.9,No,Day,OFF,OFF,ON,40.27
Floor,84,23.94,53.4,No,Night,ON,ON,OFF,62.59
Office,12,29.38,55.85,Yes,Day,ON,OFF,OFF,35.34
Office,7,20.99,32.38,No,Day,ON,ON,ON,49.44
Corridor,43,29.99,57.79,Yes,Day,OFF,ON,OFF,39.02
Office,29,18.18,36.16,No,Day,ON,ON,OFF,46.83
Office,7,24.24,43.2,Yes,Night,OFF,ON,ON,30.44
Office,57,25.92,70.2,No,Day,OFF,ON,ON,50.87
Meeting Hall,90,19.63,55.23,No,Day,OFF,ON,OFF,54.76
Floor,86,29.63,67.59,No,Night,OFF,ON,ON,62.9
Corridor,7,19.75,76.59,No,Day,OFF,OFF,OFF,29.22
Corridor,60,19.53,38.56,Yes,Day,OFF,OFF,ON,38.44
Meeting Hall,78,24.25,42.98,No,Day,OFF,OFF,ON,54.81
Floor,52,30.55,59.35,No,Day,ON,OFF,ON,79.3
Corridor,70,34.38,77.48,No,Night,ON,ON,OFF,49.37
Office,75,31.19,68.97,No,Day,ON,OFF,ON,65.9
Corridor,35,25.92,61.97,Yes,Day,ON,ON,ON,44.48
Office,93,22.63,63.96,No,Night,ON,ON,ON,57.54
Meeting Hall,73,23.12,51.63,Yes,Day,OFF,OFF,ON,47.17
Office,61,22.82,50.19,No,Day,OFF,ON,OFF,47.48
Corridor,18,22.73,79.34,No,Night,ON,ON,ON,50.99
Corridor,17,19.17,72.82,No,Day,OFF,OFF,OFF,25.23
Corridor,43,21.75,68.05,Yes,Day,ON,OFF,ON,44.41
Meeting Hall,19,19.83,65.99,No,Day,ON,OFF,ON,62.23
Meeting Hall,1,18.13,58.36,No,Day,OFF,ON,ON,41.84
Floor,29,22.86,46.45,No,Day,ON,OFF,OFF,64.12
Corridor,50,23.99,51.64,Yes,Day,OFF,OFF,OFF,34.87
Office,43,33.77,32.94,Yes,Night,ON,OFF,OFF,43.25
Meeting Hall,46,34.91,34.47,Yes,Day,ON,OFF,OFF,62.05
Corridor,42,27.85,49.22,No,Day,OFF,ON,OFF,42.81
Corridor,10,33.32,35.79,Yes,Night,ON,ON,ON,36.74
Meeting Hall,85,28.51,49.9,No,Day,OFF,OFF,ON,58.98
Floor,41,26.46,40.67,Yes,Night,ON,OFF,OFF,49.38
Meeting Hall,18,18.73,47.5,No,Day,ON,ON,OFF,48.83
Meeting Hall,2,18.76,48.96,No,Day,OFF,OFF,ON,43.53
Office,3,18.52,69.72,No,Night,OFF,ON,OFF,22.66
Office,98,20.55,64.28,No,Day,ON,ON,ON,69.1
Floor,37,19.31,70.75,Yes,Night,ON,ON,ON,57.94
Corridor,72,21.31,48.24,Yes,Day,OFF,ON,OFF,40.92
Meeting Hall,71,26.83,71.29,Yes,Day,ON,ON,OFF,59.59
Floor,33,26.55,77.48,No,Day,ON,OFF,ON,74.54
Office,50,23.85,43.87,No,Day,OFF,ON,ON,54.08
Meeting Hall,30,29.32,65.93,No,Night,ON,ON,OFF,50.44
Corridor,82,24.66,32.88,No,Day,ON,OFF,ON,57.01
Office,36,21.74,56.05,No,Night,ON,ON,ON,46.89
Office,95,29.77,37.82,No,Day,OFF,OFF,ON,59.02
Office,43,34.66,71.65,No,Day,ON,OFF,ON,61.54
Floor,58,31.78,50.71,Yes,Day,OFF,ON,OFF,58.18
Corridor,91,25.04,60.22,No,Day,ON,OFF,ON,59.32
Meeting Hall,17,24.39,59.11,No,Day,ON,OFF,ON,60.2
Floor,24,18.66,35.21,No,Day,ON,OFF,OFF,57.73
Floor,9,29.17,35.01,No,Day,ON,ON,OFF,63.57
Floor,68,21.78,58.58,No,Night,ON,ON,ON,74.31
Office,78,29.62,45.75,Yes,Night,ON,ON,ON,56.43
Corridor,24,30.92,35.57,No,Day,OFF,OFF,ON,44.2
Floor,83,32.96,45.5,No,Day,OFF,OFF,ON,71.41
Meeting Hall,50,27.32,39.53,Yes,Day,ON,OFF,ON,57.61
Corridor,52,32.11,31.98,No,Day,OFF,ON,ON,49.78
Meeting Hall,9,30.29,48.99,No,Day,OFF,ON,OFF,43.27
Corridor,48,24.0,64.04,No,Day,ON,ON,OFF,47.77
Meeting Hall,37,19.81,35.66,Yes,Night,ON,ON,OFF,40.71
Office,91,22.12,59.26,No,Day,ON,OFF,OFF,49.34
Floor,45,32.36,37.58,No,Day,ON,ON,OFF,70.99
Meeting Hall,69,27.09,33.42,No,Day,ON,ON,ON,72.34
Corridor,10,29.31,34.61,No,Night,ON,OFF,ON,35.04
Floor,82,31.7,40.49,No,Day,ON,ON,ON,80.27
Floor,15,29.34,53.28,No,Night,OFF,OFF,OFF,42.54
Corridor,31,32.55,52.22,No,Night,OFF,ON,ON,42.76
Meeting Hall,1,19.47,53.82,No,Night,ON,OFF,ON,41.55
Office,57,33.36,48.79,No,Night,OFF,ON,OFF,44.88
Office,89,31.81,74.01,Yes,Day,ON,ON,ON,73.85
Meeting Hall,84,33.35,74.23,No,Day,OFF,OFF,ON,59.95
Floor,37,30.42,62.9,No,Day,ON,OFF,ON,77.63
Floor,78,22.66,46.2,No,Day,ON,ON,ON,84.0
Floor,56,19.94,39.25,Yes,Day,ON,OFF,ON,65.35
Floor,76,20.2,64.89,No,Day,ON,OFF,ON,79.66
Meeting Hall,70,26.48,79.83,Yes,Day,ON,ON,ON,70.2
Floor,58,24.65,70.97,Yes,Night,ON,OFF,ON,58.68
Corridor,56,29.12,46.39,No,Day,ON,ON,ON,56.91
Floor,66,26.56,39.59,No,Day,ON,ON,ON,75.25
Office,14,20.13,70.88,No,Night,OFF,ON,ON,37.26
Floor,83,18.04,50.11,Yes,Day,ON,ON,OFF,71.25
Meeting Hall,57,20.18,59.25,No,Night,OFF,ON,OFF,47.29
Office,2,20.49,32.13,Yes,Night,OFF,ON,OFF,17.86
Meeting Hall,57,30.24,70.32,No,Day,ON,ON,ON,77.34
Meeting Hall,26,22.85,40.11,No,Day,ON,OFF,ON,56.35
Office,14,19.59,68.18,No,Day,OFF,OFF,OFF,36.09
Meeting Hall,59,30.84,63.02,No,Night,ON,ON,ON,66.37
Meeting Hall,2,33.99,50.62,Yes,Day,OFF,ON,OFF,39.68
Floor,27,19.71,56.68,No,Day,ON,OFF,ON,66.92
Corridor,46,34.37,56.88,No,Night,ON,ON,OFF,48.51
Meeting Hall,64,34.15,41.26,No,Day,ON,ON,ON,66.67
Meeting Hall,52,26.89,36.46,No,Night,ON,ON,ON,60.02
Meeting Hall,19,23.03,70.5,Yes,Night,OFF,OFF,ON,31.68
Floor,10,20.35,64.5,No,Night,OFF,ON,OFF,42.94
Corridor,24,32.01,61.07,No,Night,OFF,ON,OFF,34.9
Office,62,28.28,43.92,Yes,Day,ON,OFF,ON,53.39
Floor,3,29.07,50.11,Yes,Night,ON,ON,ON,55.98
Floor,82,32.63,37.36,Yes,Day,ON,ON,ON,81.47
Corridor,53,25.55,67.72,No,Day,OFF,OFF,ON,42.76
Corridor,59,24.26,30.75,No,Day,ON,ON,ON,57.36
Floor,27,30.96,30.14,Yes,Night,ON,OFF,OFF,45.46
Office,9,23.05,56.05,Yes,Night,OFF,ON,ON,27.97
Floor,84,23.57,47.21,No,Night,ON,ON,OFF,69.66
Corridor,35,24.48,37.19,No,Day,ON,ON,OFF,46.5
Office,79,32.56,66.15,No,Night,ON,OFF,ON,57.33
Corridor,32,31.24,76.6,No,Night,ON,ON,ON,50.97
Office,58,22.95,44.03,Yes,Day,OFF,ON,OFF,36.52
Meeting Hall,44,20.44,60.13,No,Day,ON,OFF,ON,57.11
Corridor,50,24.68,67.24,No,Day,ON,OFF,ON,54.1
Corridor,45,28.62,60.79,Yes,Day,ON,ON,OFF,47.18
Floor,12,29.5,49.15,No,Day,ON,ON,ON,69.21
Corridor,92,21.41,57.78,No,Day,ON,ON,ON,66.02
Corridor,3,22.24,66.23,No,Day,ON,ON,ON,48.14
Meeting Hall,41,33.81,77.16,Yes,Day,ON,OFF,OFF,52.99
Corridor,26,24.55,68.62,No,Day,ON,OFF,ON,45.4
Meeting Hall,7,23.34,45.75,No,Day,OFF,ON,ON,49.59
Meeting Hall,45,29.83,63.59,No,Night,ON,ON,ON,63.26
Meeting Hall,7,25.95,75.81,No,Day,OFF,OFF,OFF,40.78
Meeting Hall,88,22.2,55.95,Yes,Day,ON,OFF,OFF,62.33
Office,25,24.96,34.78,Yes,Day,ON,ON,ON,55.36
Floor,0,20.45,62.06,No,Day,OFF,ON,OFF,51.38
Office,96,22.75,60.25,Yes,Night,ON,ON,ON,67.21
Corridor,82,25.11,36.72,No,Day,ON,OFF,ON,61.32
Office,60,26.81,41.98,No,Day,ON,ON,OFF,56.41
Office,83,30.61,63.6,No,Night,ON,OFF,ON,56.91
Corridor,81,24.54,78.68,No,Day,ON,ON,OFF,59.61
Corridor,89,27.28,38.69,No,Day,ON,OFF,OFF,59.53
Corridor,38,34.17,60.7,Yes,Day,OFF,ON,ON,46.09
Office,8,31.91,53.69,No,Day,ON,ON,OFF,46.55
Office,26,22.03,46.98,No,Night,OFF,ON,ON,37.27
Corridor,69,21.63,75.71,No,Day,ON,ON,ON,62.75
Floor,19,29.27,76.86,No,Night,ON,ON,ON,64.67
Floor,64,28.12,38.17,No,Night,OFF,OFF,OFF,56.27
Meeting Hall,15,27.3,65.32,Yes,Day,ON,ON,ON,54.93
Corridor,67,20.62,68.7,Yes,Day,OFF,ON,OFF,37.27
Meeting Hall,66,24.16,76.16,Yes,Day,ON,ON,OFF,62.48
Floor,21,30.91,33.66,No,Day,ON,ON,ON,73.7
Meeting Hall,72,30.3,76.6,Yes,Day,OFF,ON,OFF,56.0
Corridor,55,20.81,42.32,Yes,Day,OFF,ON,ON,37.65
Corridor,56,25.26,72.91,Yes,Day,ON,ON,ON,57.15
Corridor,53,25.53,71.41,Yes,Night,OFF,ON,OFF,37.1
Office,7,26.65,69.68,No,Day,OFF,ON,ON,45.64
Meeting Hall,6,25.84,44.69,Yes,Day,ON,ON,ON,58.82
Floor,75,26.53,67.99,Yes,Night,OFF,ON,ON,58.14
Floor,0,31.82,43.09,No,Day,OFF,OFF,ON,59.92
Floor,53,24.62,45.49,No,Day,ON,ON,OFF,70.46
Office,11,27.38,70.86,No,Day,ON,ON,ON,53.02
Office,79,28.32,59.22,No,Day,OFF,OFF,ON,52.53
Corridor,13,34.02,45.07,Yes,Day,ON,ON,OFF,47.13
Floor,93,29.13,64.98,No,Day,ON,ON,OFF,85.54
